url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-nowa-kuchnia-sprzety-agd-sprawdz-ID4nbxE,450000.0,2.0,43.5, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/kawalerka-14-pietro-sokolska-30-towers-w-katow-ID4mET5,476420.0,1.0,29.05, Śródmieście
https://www.otodom.pl/pl/oferta/katowice-mariacka-4-pokoje-89-m2-ID4ldSb,725000.0,4.0,89.0, Śródmieście
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36-49-m2-balkon-ID4joxn,386000.0,2.0,36.49, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39-35-m2-balkon-ID4jowX,416400.0,2.0,39.35, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37-69-m2-balkon-ID4joxS,399000.0,2.0,37.69, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/apartamenty-zlota-nowe-mieszkanie-b11-ID4koxv,511675.0,3.0,52.75, Dąb
https://www.otodom.pl/pl/oferta/apartamenty-mikusinskiego-m11-ID4izmx,,3.0,59.06, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-apartamenty-zbozowa-m15-ID4kzP2,,3.0,105.18, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-z-balkonem-i-miejscem-parkingowym-ID4mL88,506000.0,3.0,57.0, Kostuchna
https://www.otodom.pl/pl/oferta/premier-park-villa-class-d2-mieszkanie-d2m7-ID4hAmq,,4.0,162.88,Osiedle Witosa
https://www.otodom.pl/pl/oferta/kawalerka-w-wyremontowanej-kamienicy-okazja-ID4n0br,144900.0,1.0,33.84, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-z-poddaszem-okazja-ID4n0fI,189900.0,1.0,37.49, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/mieszkanie-w-wyremontowanej-kamienicy-okazja-ID4n0el,159900.0,1.0,30.44, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/apartament-na-osiedlu-nowe-tysiaclecie-od-reki-ID4mX8M,869500.0,4.0,78.0,Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-brynow-ID4ndNt,370000.0,3.0,52.0, Załęska Hałda-Brynów
https://www.otodom.pl/pl/oferta/2-pok-na-ostatnim-pietrze-piekny-widok-ID4mG3q,359000.0,2.0,38.69, Osiedle Tysiąclecia
https://www.otodom.pl/pl/oferta/okazja-bezczynszowy-apartament-z-ogrodem-parking-ID4mj4Y,699000.0,3.0,101.86,Podlesie
https://www.otodom.pl/pl/oferta/spodek-2-pok-parkiet-balkon-ID4mVkz,359000.0,2.0,48.0, Koszutka
https://www.otodom.pl/pl/oferta/2-pokojowe-m-z-widokiem-na-spodek-2-pietro-ID4n4Pn,365000.0,2.0,43.0, Koszutka
https://www.otodom.pl/pl/oferta/4-pok-piekny-balkon-garaz-niski-czynsz-ID4n8i0,450000.0,4.0,76.0, Kostuchna
https://www.otodom.pl/pl/oferta/mieszkanie-99-31-m-katowice-ID4m9e7,795000.0,4.0,99.31,Koszutka
https://www.otodom.pl/pl/oferta/ptasie-osiedle-2-lazienki-taras-garaz-ID4lP78,950000.0,4.0,100.72,Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52m2-balkon-bezposrednio-ID4eGnr,503232.0,2.0,52.42, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/na-sprzedaz-jasne-ustawne-3-pokoje-ID4ndy3,847000.0,3.0,70.0, Dąb
https://www.otodom.pl/pl/oferta/sprzedam-ciche-mieszkanie-2-pokoje-kuchniosalon-ID4ndFo,309000.0,3.0,49.0,Dąb
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-2-pok-5-b52-ID4lByG,705474.0,2.0,54.73, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-2-pok-6-b59-ID4lByO,591297.0,2.0,45.05, Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/katowice-piotrowice-polowa-domu-do-sprzedazy-ID4mSGf,295000.0,4.0,70.0,Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/osiedle-dworska-mieszkanie-b17-ID4k9eB,945945.0,3.0,99.22, Brynów-Osiedle Zgrzebnioka
https://www.otodom.pl/pl/oferta/apartamenty-sielawy-apartament-b3-1-ID4jzA4,479000.0,3.0,66.0, Zarzecze
https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-katowic-ID4lytW,560000.0,3.0,87.03, Śródmieście
https://www.otodom.pl/pl/oferta/2-pokoje-gotowe-do-wprowadzenia-ID4mowE,470000.0,2.0,54.0, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/apartament-2-pokoje-balkon-wykonczona-lazienka-ID4mnPT,379973.0,2.0,38.42, Piotrowice-Ochojec
https://www.otodom.pl/pl/oferta/4-kawalerki-gotowiec-inwestycyjny-katowice-centrum-ID4ej1K,769000.0,4.0,90.3,Koszutka
https://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-inwestycyjne-zarabiajace-ID4iKFk,250000.0,2.0,34.18, Dąbrówka Mała
